address_to_geocode,latitude,longitude,source,to_check,location_type,formatted_address,types
"WESTWOOD and HOLMAN, Los Angeles",34.0528843,-118.4396814,geocoding,NO,GEOMETRIC_CENTER,"Westwood Blvd & Holman Ave, Los Angeles, CA 90024, USA",['intersection']
"SUNSET AV and OCEAN FRONT WK, Los Angeles",33.9926003,-118.4786785,geocoding,NO,GEOMETRIC_CENTER,"Sunset Ave & Ocean Front Walk, Los Angeles, CA 90291, USA",['intersection']
900 BROXTON AV,34.0634886,-118.4469162,geocoding,NO,ROOFTOP,"900 Broxton Ave, Los Angeles, CA 90024, USA",['street_address']
"LYMAN PL and CLAYTON ST, Los Angeles",34.0999853,-118.2885316,geocoding,NO,GEOMETRIC_CENTER,"Lyman Pl & Clayton Ave W, Los Angeles, CA 90027, USA",intersection
19000 VANOWEN ST,34.1938524,-118.5458002,geocoding,NO,RANGE_INTERPOLATED,"19000 Vanowen St, Reseda, CA 91335, USA",['street_address']
"THORNTON and OCEAN FRONT WK, Los Angeles",33.9919221,-118.4780836,geocoding,NO,GEOMETRIC_CENTER,"Thornton Ave & Ocean Front Walk, Los Angeles, CA 90291, USA",intersection
100 WORLD WAY,33.9463626,-118.4010845,geocoding,NO,ROOFTOP,"Terminal 1, 100 World Way, Los Angeles, CA 90045, USA",['premise']
"NORMANDIE and VENICE, Los Angeles",34.0437109,-118.3008341,geocoding,NO,GEOMETRIC_CENTER,"S Normandie Ave & Venice Blvd., Los Angeles, CA 90006, USA",['intersection']
"SATICOY and WOODMAN, Los Angeles",34.2094336,-118.4305812,geocoding,NO,GEOMETRIC_CENTER,"Woodman Ave & Saticoy St, Los Angeles, CA 91402, USA",['intersection']
"GRANVILLE AV and EXPOSITION BL, Los Angeles",34.0326307,-118.4493505,geocoding,NO,GEOMETRIC_CENTER,"Granville Ave & Exposition Blvd, Los Angeles, CA 90064, USA",['intersection']
"8TH ST and CENTRAL AV, Los Angeles",34.0335611,-118.2433009,geocoding,NO,GEOMETRIC_CENTER,"E 8th St & S Central Ave, Los Angeles, CA 90021, USA",['intersection']
1400 E 22ND ST,32.2065973,-110.9505136,geocoding,NO,RANGE_INTERPOLATED,"1400 E 22nd St, Tucson, AZ 85713, USA",['street_address']
"69TH ST and FIGUEROA ST, Los Angeles",33.9773653,-118.2826964,geocoding,NO,GEOMETRIC_CENTER,"S Figueroa St & W 69th St, Los Angeles, CA 90003, USA",['intersection']
"FIGUEROA ST and AVENUE 55, Los Angeles",34.1082506,-118.1955429,geocoding,NO,GEOMETRIC_CENTER,"N Ave 55 & Figueroa St, Los Angeles, CA 90042, USA",['intersection']
8000 FOOTHILL BL,38.7851464,-121.3171679,geocoding,NO,ROOFTOP,"Hewlett-Packard Cafeteria, 8000 Foothills Blvd, Roseville, CA 95747, USA",['premise']
1700 VINE ST,34.1036122,-118.3270669,geocoding,NO,ROOFTOP,"1700 Vine St, Los Angeles, CA 90028, USA",['street_address']
"GILMORE and VESPER, Los Angeles",34.1876602,-118.4509218,geocoding,NO,GEOMETRIC_CENTER,"Gilmore St & Vesper Ave, Los Angeles, CA 91411, USA",intersection
"EXPOSITION BL and GRANVILLE, Los Angeles",34.0326307,-118.4493505,geocoding,NO,GEOMETRIC_CENTER,"Granville Ave & Exposition Blvd, Los Angeles, CA 90064, USA",['intersection']
"10TH ST and CHANNING ST, Los Angeles",34.027308,-118.238004,geocoding,YES,GEOMETRIC_CENTER,"Channing St, Los Angeles, CA 90021, USA",route
"62ND ST and SAN PEDRO ST, Los Angeles",33.9833535,-118.2695718,geocoding,NO,GEOMETRIC_CENTER,"San Pedro St & E 62nd St, Los Angeles, CA 90003, USA",['intersection']
"4TH and OMAR, Los Angeles",34.0453709,-118.2422539,geocoding,NO,GEOMETRIC_CENTER,"East 4th St & Omar St, Los Angeles, CA 90013, USA",intersection
"45TH ST and GRAND AV, Los Angeles",34.002881,-118.2805103,geocoding,NO,GEOMETRIC_CENTER,"W 45th St & S Grand Ave, Los Angeles, CA 90037, USA",['intersection']
5500 S CENTRAL AV,33.9928884,-118.2561761,geocoding,NO,ROOFTOP,"5500 S Central Ave, Los Angeles, CA 90011, USA",['premise']
18200 ROSCOE BL,34.2208364,-118.5295536,geocoding,NO,RANGE_INTERPOLATED,"18200 Roscoe Blvd, Northridge, CA 91325, USA",['street_address']
"OCEAN FRONT WK and WINDWARD AV, Los Angeles",33.9868848,-118.4736247,geocoding,NO,GEOMETRIC_CENTER,"Windward Ave & Ocean Front Walk, Los Angeles, CA 90291, USA",['intersection']
"SANTA MONICA BL and BUNDY DR, Los Angeles",34.0405651,-118.463341,geocoding,NO,GEOMETRIC_CENTER,"Bundy Dr & Santa Monica Blvd, Los Angeles, CA 90025, USA",['intersection']
"VENICE and PACIFIC, Los Angeles",33.9845035,-118.4696793,geocoding,NO,GEOMETRIC_CENTER,"S Venice Blvd & Pacific Ave, Los Angeles, CA 90291, USA",intersection
"BEVERLY BL and ALVARADO, Los Angeles",34.0666849,-118.2703225,geocoding,NO,GEOMETRIC_CENTER,"Beverly Blvd & N Alvarado St, Los Angeles, CA 90057, USA",['intersection']
500 N AVALON BL,33.7756322,-118.2621158,geocoding,NO,RANGE_INTERPOLATED,"500 N Avalon Blvd, Wilmington, CA 90744, USA",['street_address']
"WESTLAKE AV and WILSHIRE BL, Los Angeles",34.0573874,-118.274705,geocoding,NO,GEOMETRIC_CENTER,"Wilshire Blvd & S Westlake Ave, Los Angeles, CA 90057, USA",['intersection']
"YUCCA and GOWER, Los Angeles",34.1037704,-118.3225158,geocoding,NO,GEOMETRIC_CENTER,"N Gower St & Yucca St, Los Angeles, CA 90028, USA",['intersection']
11500 SANTA MONICA BL,34.0452901,-118.4519807,geocoding,NO,ROOFTOP,"11500 Santa Monica Blvd, Los Angeles, CA 90025, USA",street_address
"FIGUEROA and 90TH ST, Los Angeles",33.955079,-118.282714,geocoding,NO,GEOMETRIC_CENTER,"S Figueroa St & W 90th St, Los Angeles, CA 90044, USA",['intersection']
"49TH ST and AVALON ST, Los Angeles",33.9988149,-118.2652364,geocoding,NO,GEOMETRIC_CENTER,"E 49th St & Avalon Blvd, Los Angeles, CA 90011, USA",['intersection']
"CORBIN AV and KITTRIDGE, Los Angeles",34.1910325,-118.5622502,geocoding,NO,GEOMETRIC_CENTER,"Corbin Ave & Kittridge St, Los Angeles, CA 91306, USA",['intersection']
"PICO and CENTINELA, Los Angeles",34.0280029,-118.4528881,geocoding,NO,GEOMETRIC_CENTER,"W Pico Blvd & S Centinela Ave, Santa Monica, CA 90064, USA",['intersection']
10300 ROSCOE BL,34.2223338,-118.3550661,geocoding,NO,ROOFTOP,"10300 Roscoe Blvd, Sun Valley, CA 91352, USA",['premise']
5500 HUNTINGTON DR,34.0930665,-118.1608569,geocoding,NO,RANGE_INTERPOLATED,"5500 Huntington Dr, Los Angeles, CA 90032, USA",['street_address']
"STRATHERN and TOPANGA CANYON BL, Los Angeles",34.2155656,-118.6059988,geocoding,NO,GEOMETRIC_CENTER,"CA-27 & Strathern St, Los Angeles, CA 91304, USA",['intersection']
"ROSCOE and CANOGA, Los Angeles",34.2198072,-118.5975231,geocoding,NO,GEOMETRIC_CENTER,"Roscoe Blvd & Canoga Ave, Los Angeles, CA 91304, USA",['intersection']
"22ND ST and HOOPER AV, Los Angeles",34.0188999,-118.2481039,geocoding,NO,GEOMETRIC_CENTER,"E 22nd St & Hooper Ave., Los Angeles, CA 90011, USA",['intersection']
"TENNESSEE and PURDUE, Los Angeles",34.0355696,-118.4419109,geocoding,NO,GEOMETRIC_CENTER,"Tennessee Ave & Purdue Ave, Los Angeles, CA 90064, USA",intersection
"77TH ST and FIGUEROA ST, Los Angeles",33.9698154,-118.2826893,geocoding,NO,GEOMETRIC_CENTER,"S Figueroa St & W 77th St, Los Angeles, CA 90044, USA",['intersection']
400 LANDFAIR AV,34.0704416,-118.4528751,geocoding,NO,ROOFTOP,"400 Landfair Ave, Los Angeles, CA 90024, USA",['street_address']
2800 SAN FERNANDO RD,34.2906514,-118.4494068,geocoding,NO,RANGE_INTERPOLATED,"2800 San Fernando Rd, Sylmar, CA 91342, USA",['street_address']
"SELMA and EL CENTRO, Los Angeles",34.099816,-118.3237517,geocoding,NO,GEOMETRIC_CENTER,"Selma Ave & N El Centro Ave, Los Angeles, CA 90028, USA",['intersection']
"CENTRAL and 50TH ST, Los Angeles",33.9982468,-118.3023711,geocoding,YES,GEOMETRIC_CENTER,"W 50th St, Los Angeles, CA, USA",route
"PARK VIEW and 6TH ST, Los Angeles",34.0609268,-118.2779935,geocoding,NO,GEOMETRIC_CENTER,"S Park View St & W 6th St, Los Angeles, CA 90057, USA",intersection
"WILSHIRE BL and OXFORD AV, Los Angeles",34.0617032,-118.3078604,geocoding,NO,GEOMETRIC_CENTER,"Wilshire Blvd & S Oxford Ave, Los Angeles, CA 90010, USA",['intersection']
"FIGUEROA and 37TH PL, Los Angeles",34.0175754,-118.2826776,geocoding,NO,GEOMETRIC_CENTER,"S Figueroa St & W 37th Pl, Los Angeles, CA 90007, USA",['intersection']
"LENNOX and ROSCOE, Los Angeles",34.2216072,-118.4459687,geocoding,NO,GEOMETRIC_CENTER,"Lennox Ave & Roscoe Blvd, Los Angeles, CA 91402, USA",intersection
"12TH ST and FIGUEROA ST, Los Angeles",34.0419133,-118.2668802,geocoding,NO,GEOMETRIC_CENTER,"12th St E & S Figueroa St, Los Angeles, CA 90015, USA",intersection
5800 CRENSHAW BL,33.9890186,-118.330665,geocoding,NO,RANGE_INTERPOLATED,"5800 Crenshaw Blvd, Los Angeles, CA 90043, USA",['street_address']
9500 VAN NUYS BL,34.2426785,-118.450255,geocoding,NO,RANGE_INTERPOLATED,"9500 Van Nuys Blvd, Panorama City, CA 91402, USA",['street_address']
"4TH and FIGUEROA, Los Angeles",34.0538439,-118.2558743,geocoding,NO,GEOMETRIC_CENTER,"4th & Figueroa, Los Angeles, CA 90071, USA","['establishment', 'point_of_interest', 'transit_station']"
8300 SEPULVEDA BL,33.9634869,-118.3961156,geocoding,NO,RANGE_INTERPOLATED,"8300 S Sepulveda Blvd, Los Angeles, CA 90045, USA",['street_address']
"VAN NUYS BL and HARTLAND, Los Angeles",34.1951535,-118.4487462,geocoding,NO,GEOMETRIC_CENTER,"Van Nuys Blvd & Hartland St, Los Angeles, CA 91405, USA",['intersection']
13100 VAN NUYS BL,34.2685155,-118.4182955,geocoding,NO,ROOFTOP,"13100 Van Nuys Blvd, Pacoima, CA 91331, USA",['premise']
"6TH ST and GRAND VIEW, Los Angeles",34.0604691,-118.2769764,geocoding,NO,GEOMETRIC_CENTER,"W 6th St & S Grand View St, Los Angeles, CA 90057, USA",['intersection']
"VAN NUYS and PLUMMER, Los Angeles",34.2426785,-118.450255,geocoding,NO,GEOMETRIC_CENTER,"Van Nuys Blvd & Plummer St, Los Angeles, CA 91402, USA",['intersection']
"VASSAR and CALIFA, Los Angeles",34.1772293,-118.6044339,geocoding,NO,GEOMETRIC_CENTER,"Vassar Ave & Califa St, Los Angeles, CA 91367, USA",intersection
"ALVARADO and BEVERLY, Los Angeles",34.0666849,-118.2703225,geocoding,NO,GEOMETRIC_CENTER,"Beverly Blvd & N Alvarado St, Los Angeles, CA 90057, USA",['intersection']
"ALEXANDRIA and SUNSET, Los Angeles",34.0981411,-118.2983417,geocoding,NO,GEOMETRIC_CENTER,"N Alexandria Ave & Sunset Blvd, Los Angeles, CA 90027, USA",intersection
15300 W VENTURA BL,34.165232,-118.5272559,geocoding,NO,RANGE_INTERPOLATED,"15300 W Ventura Blvd, Tarzana, CA 91356, USA",['street_address']
"OWENSMOUTH and BASSETT, Los Angeles",34.195592,-118.6015585,geocoding,NO,GEOMETRIC_CENTER,"Owensmouth Ave & Bassett St, Los Angeles, CA 91303, USA",['intersection']
"HESBY and LANKERSHIM BL, Los Angeles",34.1618521,-118.372798,geocoding,NO,GEOMETRIC_CENTER,"Lankershim Blvd & Hesby St, Los Angeles, CA 91601, USA",['intersection']
"VAN NUYS and NORDHOFF, Los Angeles",34.2354186,-118.4502667,geocoding,NO,GEOMETRIC_CENTER,"Nordhoff Street & Van Nuys, Los Angeles, CA 91402, USA",['intersection']
800 N ALAMEDA ST,34.0562196,-118.2365021,geocoding,NO,ROOFTOP,"800 N Alameda St, Los Angeles, CA 90012, USA",['premise']
"FOUNTAIN and VINE, Los Angeles",34.09435,-118.32636,geocoding,NO,GEOMETRIC_CENTER,"Los Angeles, CA 90038, USA","['establishment', 'point_of_interest']"
"OLYMPIC and PONTIUS, Los Angeles",34.0398496,-118.4385184,geocoding,NO,GEOMETRIC_CENTER,"W Olympic Blvd & Pontius Ave, Los Angeles, CA 90025, USA",['intersection']
"MARMION and PASADENA, Los Angeles",34.0905883,-118.2111863,geocoding,NO,GEOMETRIC_CENTER,"Pasadena Ave & Marmion Way, Los Angeles, CA 90031, USA",['intersection']
"LEMOYNE and PARK, Los Angeles",34.0756939,-118.2605398,geocoding,NO,GEOMETRIC_CENTER,"Lemoyne St & Park Ave, Los Angeles, CA 90026, USA",intersection
8200 CANOGA AV,34.2184083,-118.5975391,geocoding,NO,RANGE_INTERPOLATED,"8200 Canoga Ave, Canoga Park, CA 91304, USA",['street_address']
2400 S SAN PEDRO ST,34.0229053,-118.2601084,geocoding,NO,ROOFTOP,"2400 San Pedro St, Los Angeles, CA 90011, USA",['premise']
"FIGUEROA ST and CENTURY BL, Los Angeles",33.9455301,-118.282636,geocoding,NO,GEOMETRIC_CENTER,"S Figueroa St & Century Blvd, Los Angeles, CA 90044, USA",['intersection']
"WESTMINSTER and OCEAN FRONT WK, Los Angeles",33.9884821,-118.4750567,geocoding,NO,GEOMETRIC_CENTER,"Westminster Ave & Ocean Front Walk, Los Angeles, CA 90291, USA",intersection
1000 MAPLE AV,0,0,geocoding,YES,0,0,0
"ERWIN and TOPANGA CANYON, Los Angeles",34.1828466,-118.6059815,geocoding,NO,GEOMETRIC_CENTER,"Erwin St & Topanga Canyon Blvd, Los Angeles, CA 91367, USA",intersection
"CEDROS AV and BESSEMER ST, Los Angeles",34.1809365,-118.4531035,geocoding,NO,GEOMETRIC_CENTER,"Bessemer St & Cedros Ave, Los Angeles, CA 91411, USA",['intersection']
5700 W CENTURY BL,33.9454254,-118.3803794,geocoding,NO,RANGE_INTERPOLATED,"5700 W Century Blvd, Los Angeles, CA 90045, USA",['street_address']
10200 SAN FERNANDO RD,34.291763,-118.4502237,geocoding,NO,RANGE_INTERPOLATED,"10200 San Fernando Rd, Sylmar, CA 91342, USA",['street_address']
"ROSE and OCEAN FRONT WK, Los Angeles",33.9946416,-118.4804996,geocoding,NO,GEOMETRIC_CENTER,"Rose Ave & Ocean Front Walk, Los Angeles, CA 90291, USA",intersection
"PARK and LEMOYNE, Los Angeles",34.0756939,-118.2605398,geocoding,NO,GEOMETRIC_CENTER,"Park Ave & Lemoyne St, Los Angeles, CA 90026, USA",intersection
"GLENDALE BL and PARK AV, Los Angeles",34.0763305,-118.261337,geocoding,NO,GEOMETRIC_CENTER,"Glendale Blvd & Park Ave, Los Angeles, CA 90026, USA",['intersection']
2000 CENTURY PARK EAS,34.0604479,-118.4133763,geocoding,NO,RANGE_INTERPOLATED,"2000 Century Park E, Los Angeles, CA 90067, USA",['street_address']
"FIGUEROA and MERIDIAN ST, Los Angeles",34.119983,-118.183758,geocoding,NO,GEOMETRIC_CENTER,"Figueroa & Meridian St. (Westbound), Los Angeles, CA 90042, USA","['bus_station', 'establishment', 'point_of_interest', 'transit_station']"
"WILSHIRE and ALVARADO ST, Los Angeles",34.0579283,-118.2759085,geocoding,NO,GEOMETRIC_CENTER,"Wilshire Blvd & S Alvarado St, Los Angeles, CA 90057, USA",['intersection']
2000 LOUELLA AV,34.0014937,-118.4519273,geocoding,NO,ROOFTOP,"2000 Louella Ave, Venice, CA 90291, USA",['premise']
"8TH and FIGUEROA, Los Angeles",34.0479488,-118.261239,geocoding,NO,GEOMETRIC_CENTER,"S Figueroa St & W 8th St, Los Angeles, CA 90017, USA",['intersection']
10500 W PICO BL,34.0447908,-118.4188913,geocoding,NO,ROOFTOP,"10500 W Pico Blvd, Los Angeles, CA 90064, USA",['premise']
"OCEAN FRONT WK and ROSE, Los Angeles",33.9946416,-118.4804996,geocoding,NO,GEOMETRIC_CENTER,"Ocean Front Walk & Rose Ave, Los Angeles, CA 90291, USA",intersection
"DEERING and WYANDOTTE, Los Angeles",34.2028653,-118.5966593,geocoding,NO,GEOMETRIC_CENTER,"Deering Ave & Wyandotte St, Los Angeles, CA 91303, USA",intersection
"ROSCOE BL and CANOGA AV, Los Angeles",34.2198072,-118.5975231,geocoding,NO,GEOMETRIC_CENTER,"Roscoe Blvd & Canoga Ave, Los Angeles, CA 91304, USA",['intersection']
"GLENOAKS BL and PEORIA ST, Los Angeles",34.2404936,-118.3776552,geocoding,NO,GEOMETRIC_CENTER,"Glenoaks Blvd & Peoria St, Los Angeles, CA 91352, USA",['intersection']
8300 VAN NUYS BL,34.2218314,-118.4484823,geocoding,NO,ROOFTOP,"8300 Van Nuys Blvd, Panorama City, CA 91402, USA",['subpremise']
8300 LEHIGH AV,42.0320668,-87.7844008,geocoding,NO,ROOFTOP,"8300 Lehigh Ave, Morton Grove, IL 60053, USA",premise
"VENICE BL and BONNIE BRAE, Los Angeles",34.0428147,-118.2819483,geocoding,NO,GEOMETRIC_CENTER,"Venice Blvd. & S Bonnie Brae St, Los Angeles, CA 90006, USA",['intersection']
"SAN FERNANDO MIS and WOODLEY, Los Angeles",34.193905,-118.4836759,geocoding,YES,GEOMETRIC_CENTER,"Woodley Ave, Los Angeles, CA, USA",route
"OVERLAND and NATIONAL, Los Angeles",34.0307834,-118.4163003,geocoding,NO,GEOMETRIC_CENTER,"Overland Ave & National Pl, Los Angeles, CA 90034, USA",intersection
"WILSHIRE and UNION, Los Angeles",34.0556566,-118.2702524,geocoding,NO,ROOFTOP,"1601 Wilshire Blvd, Los Angeles, CA 90017, USA","['establishment', 'point_of_interest']"
"WESTERN AV and HOLLYWOOD BL, Los Angeles",34.1017384,-118.3092728,geocoding,NO,GEOMETRIC_CENTER,"Hollywood Blvd & N Western Ave, Los Angeles, CA 90028, USA",['intersection']
"DE SOTO and VENTURA FY, Los Angeles",34.1663963,-118.5882747,geocoding,NO,GEOMETRIC_CENTER,"Ventura Blvd & De Soto Ave, Los Angeles, CA 91364, USA",['intersection']
"PICO BL and HOLT, Los Angeles",34.0537901,-118.3785298,geocoding,NO,GEOMETRIC_CENTER,"S Holt Ave & Pico Blvd, Los Angeles, CA 90035, USA",['intersection']
1200 N AVALON BL,33.7869485,-118.2626208,geocoding,NO,ROOFTOP,"1200 N Avalon Blvd, Wilmington, CA 90744, USA",['premise']
"VENICE BL and BURLINGTON, Los Angeles",34.0423802,-118.2809915,geocoding,NO,GEOMETRIC_CENTER,"Venice Blvd. & S Burlington Ave, Los Angeles, CA 90006, USA",['intersection']
"PICO BL and MOTOR, Los Angeles",34.0499905,-118.4107203,geocoding,NO,GEOMETRIC_CENTER,"W Pico Blvd & Motor Ave, Los Angeles, CA 90067, USA",intersection
"WILLIS and ARMINTA, Los Angeles",34.2138393,-118.4553026,geocoding,NO,GEOMETRIC_CENTER,"Willis Ave & Arminta St, Los Angeles, CA 91402, USA",intersection
14700 PARTHENIA ST,34.2280985,-118.4535698,geocoding,NO,RANGE_INTERPOLATED,"14700 Parthenia St, Panorama City, CA 91402, USA",['street_address']
"LONG BEACH and VERNON, Los Angeles",34.0039227,-118.2430607,geocoding,NO,GEOMETRIC_CENTER,"Long Beach Ave & E Vernon Ave, Los Angeles, CA 90058, USA",['intersection']
"WILSHIRE and BARRY, Los Angeles",34.050105,-118.4600997,geocoding,NO,GEOMETRIC_CENTER,"Wilshire Blvd & Barry Ave, Los Angeles, CA 90025, USA",intersection
"BOYLE and 4TH ST, Los Angeles",34.0430576,-118.2196484,geocoding,NO,GEOMETRIC_CENTER,"S Boyle Ave & East 4th St, Los Angeles, CA 90033, USA",intersection
"14TH ST and LONG BEACH BL, Los Angeles",33.7838146,-118.1892943,geocoding,NO,GEOMETRIC_CENTER,"E 14th St & Long Beach Blvd, Long Beach, CA 90813, USA",['intersection']
"MASSACHUSETTS and PONTIUS, Los Angeles",34.0488278,-118.446147,geocoding,NO,GEOMETRIC_CENTER,"Pontius Ave & Massachusetts Ave, Los Angeles, CA 90025, USA",['intersection']
1400 N SYCAMORE AV,34.0963065,-118.3422454,geocoding,NO,ROOFTOP,"1400 N Sycamore Ave, Los Angeles, CA 90028, USA",['premise']
"70TH ST and FIGUEROA ST, Los Angeles",33.9764646,-118.2826966,geocoding,NO,GEOMETRIC_CENTER,"S Figueroa St & W 70th St, Los Angeles, CA 90003, USA",['intersection']
4900 GARDEN GROVE AV,34.1594165,-118.5298813,geocoding,NO,RANGE_INTERPOLATED,"4900 Garden Grove Ave, Tarzana, CA 91356, USA",['street_address']
"COLLEGE VIEW AV and COLORADO BL, Los Angeles",34.1413353,-118.2210854,geocoding,NO,GEOMETRIC_CENTER,"Colorado Blvd & College View Ave, Los Angeles, CA 90041, USA",['intersection']
"5TH and OLIVE, Los Angeles",34.0438969,-118.257678,geocoding,NO,ROOFTOP,"888 S Olive St, Los Angeles, CA 90014, USA","['establishment', 'lodging', 'point_of_interest']"
"CENTRAL AV and 25TH ST, Los Angeles",34.019714,-118.2545693,geocoding,NO,GEOMETRIC_CENTER,"E 25th St & S Central Ave, Los Angeles, CA 90011, USA",['intersection']
600 W PASEO DEL MAR,33.7063176,-118.2913614,geocoding,NO,RANGE_INTERPOLATED,"600 W Paseo Del Mar, San Pedro, CA 90731, USA",['street_address']
"KESTER and PARTHENIA, Los Angeles",34.2283091,-118.4574835,geocoding,NO,GEOMETRIC_CENTER,"Parthenia St & Kester Ave, Los Angeles, CA 91402, USA",['intersection']
"SAINT ANDREWS PL and 35TH ST, Los Angeles",34.0246456,-118.3119167,geocoding,NO,GEOMETRIC_CENTER,"W 35th St & St Andrews Pl, Los Angeles, CA 90018, USA",['intersection']
"29TH ST and WESTERN AV, Los Angeles",34.0290987,-118.3089481,geocoding,NO,GEOMETRIC_CENTER,"W 29th St & Western Ave, Los Angeles, CA 90018, USA",['intersection']
"3RD ST and RAMPART BL, Los Angeles",34.0662708,-118.2788958,geocoding,NO,GEOMETRIC_CENTER,"W 3rd St & S Rampart Blvd, Los Angeles, CA 90057, USA",intersection
16800 ROSCOE BL,34.2197381,-118.4993982,geocoding,NO,ROOFTOP,"16800 Roscoe Blvd, Van Nuys, CA 91406, USA",['premise']
"CABRITO and WILLIS, Los Angeles",34.2133342,-118.4552966,geocoding,NO,GEOMETRIC_CENTER,"Willis Ave & Cabrito Rd, Los Angeles, CA 91402, USA",['intersection']
20200 ELKWOOD ST,34.2121185,-118.5730972,geocoding,NO,ROOFTOP,"20200 Elkwood St, Canoga Park, CA 91306, USA",['premise']
"OCEAN FRONT WK and OZONE, Los Angeles",33.9952453,-118.4810303,geocoding,NO,GEOMETRIC_CENTER,"Ozone Ave & Ocean Front Walk, Los Angeles, CA 90291, USA",['intersection']
"SEPULVEDA BL and VOSE ST, Los Angeles",34.1984625,-118.4662086,geocoding,NO,GEOMETRIC_CENTER,"Vose St & Sepulveda Blvd, Los Angeles, CA 91406, USA",['intersection']
21700 VENTURA BL,34.16809,-118.60086,geocoding,NO,ROOFTOP,"21700 Ventura Blvd, Woodland Hills, CA 91364, USA",['street_address']
"MACLAY and HARDING, Los Angeles",34.3093022,-118.4114624,geocoding,NO,GEOMETRIC_CENTER,"Maclay St & Harding St, Los Angeles, CA 91342, USA",intersection
19800 VANOWEN ST,34.1935877,-118.564364,geocoding,NO,ROOFTOP,"19800 Vanowen St, Winnetka, CA 91306, USA",['premise']
"INDEPENDENCE AV and SHERMAN WY, Los Angeles",34.2011152,-118.5906375,geocoding,NO,GEOMETRIC_CENTER,"Sherman Way & Independence Ave, Los Angeles, CA 91303, USA",['intersection']
11200 CALIFA ST,34.1776092,-118.3746773,geocoding,NO,RANGE_INTERPOLATED,"11200 Califa St, North Hollywood, CA 91601, USA",['street_address']
"FALLBROOK AV and VICTORY BL, Los Angeles",34.1864444,-118.6233862,geocoding,NO,GEOMETRIC_CENTER,"Victory Blvd & Fallbrook Ave, Los Angeles, CA 91307, USA",['intersection']
14700 FRIAR ST,34.1855252,-118.4533001,geocoding,NO,ROOFTOP,"14700 Friar St, Van Nuys, CA 91411, USA",['street_address']
12200 SANTA MONICA BL,34.0777229,-118.3947846,geocoding,NO,RANGE_INTERPOLATED,"12200 Santa Monica Blvd, Beverly Hills, CA 90210, USA",['street_address']
"23RD ST and HOOPER AV, Los Angeles",34.0181056,-118.2488121,geocoding,NO,GEOMETRIC_CENTER,"E 23rd St & Hooper Ave., Los Angeles, CA 90011, USA",intersection
300 S VERMONT AV,34.069064,-118.2916823,geocoding,NO,RANGE_INTERPOLATED,"300 S Vermont Ave, Los Angeles, CA 90020, USA",['street_address']
"6TH ST and IRVING BL, Los Angeles",34.063521,-118.31853,geocoding,NO,GEOMETRIC_CENTER,"W 6th St & S Irving Blvd, Los Angeles, CA 90020, USA",['intersection']
4500 W PICO BL,34.0483077,-118.3336317,geocoding,NO,ROOFTOP,"4500 W Pico Blvd, Los Angeles, CA 90019, USA",['street_address']
"TUJUNGA and CHANDLER, Los Angeles",34.1680953,-118.3789866,geocoding,NO,GEOMETRIC_CENTER,"Tujunga Ave & Chandler Blvd, Los Angeles, CA 91601, USA",intersection
"HOOPER AV and 46TH ST, Los Angeles",34.0020539,-118.2521463,geocoding,NO,GEOMETRIC_CENTER,"Hooper Ave. & E 46th St, Los Angeles, CA 90011, USA",['intersection']
"COIL and PACIFIC COAST HY, Los Angeles",33.7910945,-118.2441146,geocoding,NO,GEOMETRIC_CENTER,"Coil Ave & E Pacific Coast Hwy, Los Angeles, CA 90744, USA",intersection
"CAHUENGA and HOLLYWOOD, Los Angeles",34.1016134,-118.3295531,geocoding,NO,GEOMETRIC_CENTER,"Hollywood Blvd & Cahuenga Blvd, Los Angeles, CA 90028, USA",['intersection']
"ORION and CHATSWORTH, Los Angeles",34.2645838,-118.4711928,geocoding,NO,GEOMETRIC_CENTER,"Orion Ave & Chatsworth St, Los Angeles, CA 91345, USA",intersection
"7TH ST and SAN PEDRO, Los Angeles",34.040697,-118.2467728,geocoding,NO,GEOMETRIC_CENTER,"San Pedro St & 7th St, Los Angeles, CA 90014, USA",['intersection']
"CEDROS and NOVICE, Los Angeles",34.243784,-118.453674,geocoding,NO,GEOMETRIC_CENTER,"Novice St & Cedros Ave, Los Angeles, CA 91402, USA",['intersection']
"SANTA MONICA BL and BROCKTON, Los Angeles",34.0414514,-118.4612871,geocoding,NO,GEOMETRIC_CENTER,"Brockton Ave & Santa Monica Blvd, Los Angeles, CA 90025, USA",['intersection']
"OCEAN FRONT WK and WASHINGTON BL, Los Angeles",33.9790596,-118.466869,geocoding,NO,GEOMETRIC_CENTER,"Washington Blvd & Ocean Front Walk, Los Angeles, CA 90291, USA",['intersection']
"71ST ST and FIGUEROA ST, Los Angeles",33.9755622,-118.2826763,geocoding,NO,GEOMETRIC_CENTER,"S Figueroa St & W 71st St, Los Angeles, CA 90044, USA",['intersection']
"HOLT and PICO BL, Los Angeles",34.0537901,-118.3785298,geocoding,NO,GEOMETRIC_CENTER,"S Holt Ave & Pico Blvd, Los Angeles, CA 90035, USA",['intersection']
"DE SOTO AV and GAULT ST, Los Angeles",34.1992344,-118.5884776,geocoding,NO,GEOMETRIC_CENTER,"De Soto Ave & Gault St, Los Angeles, CA 91303, USA",['intersection']
