arrest_type_code,charge,charge_description,charge_group_code,count,HRW_charge,perc_change_group
F,4324(A)BP,FORGE/ETC PRESCRIPTION,Forgery/Counterfeit,4,Fraud/Embezzlement,Other charge
F,470D&473APC,FORGERY EXCEEDING $950 NOT CHECK/BOND ETC,Forgery/Counterfeit,4,Fraud/Embezzlement,Other charge
F,470PC,FORGERY,Forgery/Counterfeit,4,Fraud/Embezzlement,Other charge
M,475(C)PC,POSS/COMPLEED CHECK W/INTENT COMIT FORGY,Forgery/Counterfeit,4,Fraud/Embezzlement,Other charge
M,476&473BPC,"FORGERY CHECK/BOND, ETC. NOT > $950",Forgery/Counterfeit,4,Fraud/Embezzlement,Other charge
F,480PC,MAKE/POSSESS COUNTERFEIT PLATES/DIES/ETC,Forgery/Counterfeit,4,Fraud/Embezzlement,Other charge
F,498(B)(1)PC,THEFT OF UTILITY SERVICES > $400,Fraud/Embezzlement,4,Fraud/Embezzlement,Other charge
F,502(C)(1)PC,FRAUDULENT COMPUTER ACCESS,Fraud/Embezzlement,4,Fraud/Embezzlement,Other charge
F,503PC,EMBEZZLEMENT >$400,Fraud/Embezzlement,4,Fraud/Embezzlement,Other charge
F,529APC,POSSESS/PROV FALSE BIRTH/BAPTISMAL CERT,Fraud/Embezzlement,4,Fraud/Embezzlement,Other charge
M,529PC,FALSE PERSONATION:SP CIRC,Fraud/Embezzlement,4,Fraud/Embezzlement,Other charge
M,530.5(C)3PC,POSS ID OR 10 OR MORE PRSN W/INTENT DEFRAU,Fraud/Embezzlement,4,Fraud/Embezzlement,Other charge
M,532(A)PC,OBTAIN MONEY BY FALSE PRETENSES,Fraud/Embezzlement,4,Fraud/Embezzlement,Other charge
F,550(A)(6)PC,ASSIST/ETC FALSE OR FRAUD INSURANCE CLAIM,Fraud/Embezzlement,4,Fraud/Embezzlement,Other charge
M,10980(A)WI,FALSE STATEMENTS TO OBTAIN AID,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
M,10980(G)1WI,UNAUTHORIZED USE/POSS/ETC OF FOOD STAMPS,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
F,113PC,MANUFACTURE/ETC FALSE CITIZENSHIP DOCU,Forgery/Counterfeit,3,Fraud/Embezzlement,Other charge
M,115.5(A)PC,FILE FALSE DOCU FOR TITLE/ETC ON REAL EST,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
F,118.1PC,PEACE OFFICER FILING FALSE REPORT,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
F,134PC,PREPARE FALSE DOCUMENTARY EVIDENCE,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
F,14107B4BWI,EXECUTE SCHEME OBTAIN MONEY/PROP MEDI-CAL,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
F,14107WI,FRAUDULENT/FALSE INFO TO OBT MED ASSIST,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
F,2101(A)1UI,FALSE STATEMENTS REGARDING AID,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
F,350(A)PC,MFG/SELL COUNTERFEIT MARK,Forgery/Counterfeit,3,Fraud/Embezzlement,Other charge
M,4325(A)BP,UNAUTH PRESCRIPTION BLANK,Forgery/Counterfeit,3,Fraud/Embezzlement,Other charge
F,470(A)PC,FORGERY,Forgery/Counterfeit,3,Fraud/Embezzlement,Other charge
M,470BPC,POSS DRIVER'S LIC/ID CARD COMMIT FORGERY,Forgery/Counterfeit,3,Fraud/Embezzlement,Other charge
M,470PC,FORGERY,Forgery/Counterfeit,3,Fraud/Embezzlement,Other charge
M,473(B)PC,"FORGERY CHECK/BON, ETC NOT > $950",Forgery/Counterfeit,3,Fraud/Embezzlement,Other charge
M,475(A)PC,POSSESS ITEMS W/INTENT TO FORGE/CNTRFEIT,Forgery/Counterfeit,3,Fraud/Embezzlement,Other charge
M,476(A)PC,PASSING COUNTERFEIT NOTES,Forgery/Counterfeit,3,Fraud/Embezzlement,Other charge
M,476A(B)PC,NONSUFFICIENT FUNDS CHECKS LESS THAN $950,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
M,476APC,NON SUFFICIENT FUNDS CHECKS,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
M,476PC,MAKE/POSSESS/UTTER FICTITIOUS INSTRUMENTS,Forgery/Counterfeit,3,Fraud/Embezzlement,Other charge
F,484F(B)PC,FORGE NAME ON ACCESS CARD,Forgery/Counterfeit,3,Fraud/Embezzlement,Other charge
M,498(B)(2)PC,TAMPER W/UTILITY METER,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
M,502(C)(1)PC,FRAUDULENT COMPUTER ACCESS,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
F,505PC,EMBEZZLE OF PROPERTY BY CARRIER >$400,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
M,529.5(C)PC,ILL POSS NON-GOV'T ISS ID CARD/DRIVER LIC,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
M,529APC,POSSESS/PROV FALSE BIRTH/BAPTISMAL CERT,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
M,530.5(C)2PC,USE OTHERS ID W/INTENT DEFRAUD: W/PRIOR,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
F,530.5(D)2PC,KNOWINGLY USE PERSONAL ID INFO TO COM VIOL,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
F,530.5PC,UNATHORIZED USE OF PERSONAL ID INFO,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
M,530.5PC,UNATHORIZED USE OF PERSONAL ID INFO,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
F,532A(1)PC,MAKE FALSE FINANCIAL STATEMENT,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
M,537(C)(2)PC,DEFRAUD INNKEEPER/ETC BY FORCE/ETC($400-),Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
M,538D(B)1PC,IMPERSONATING A PEACE OFFICER,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
M,550(A)(4)PC,PRESENT FALSE INSURANCE CLAIM FOR THEFT,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
M,550(A)(6)PC,ASSIST/ETC FALSE OR FRAUD INSURANCE CLAIM,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
M,550(B)(1)PC,PROV FALSE/ETC INSURANCE INFO FOR PAY/ETC,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
M,550(B)(2)PC,CONSPIRE:AKE STATEMENT: CLAIM,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
M,550(B)(3)PC,HIDE FACTS: INS ENTITLEMENTS,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
F,550PC,FALSE/FRAUD CLAIMS-VEHICLE LOSS/DAMAGE,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
M,7028BP,CONTRACTING W/O LICENSE,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
F,A518PC,ATTEMPT - EXTORTION - DEFINED,Fraud/Embezzlement,3,Fraud/Embezzlement,Other charge
F,10980(C)WI,FALSE APPLICATION FOR AID,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
F,10980(G)2WI,UNAUTH USE/POSS/ETC OF FOOD STAMPS > $400,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
F,115(A)PC,OFFER FALSE/FORGED INSTRUMENT TO BE FILED,Forgery/Counterfeit,2,Fraud/Embezzlement,Other charge
M,118PC,PERJURY UNDER OATH,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
F,14107.2BWI,"PAY KICKBACK, BRIBE, REBATE",Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
M,14610.1AVC,MFG/SELL ID SIMILAR TO DRIVER'S LICENSE,Forgery/Counterfeit,2,Fraud/Embezzlement,Other charge
M,14610(A)3VC,PRESENT LICENSE ISSUED TO ANOTHER,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
M,2101(A)1UI,FALSE STATEMENTS REGARDING AID,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
M,2101(A)UIC,FALSE STATEMENT REGARDING AID,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
F,424.1PC,EMBEZZLEMENT BY PO FOR PERSONAL USE,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
M,470(A)PC,FORGERY,Forgery/Counterfeit,2,Fraud/Embezzlement,Other charge
F,470BPC,POSS DRIVER'S LIC/ID CARD COMMIT FORGERY,Forgery/Counterfeit,2,Fraud/Embezzlement,Other charge
M,472PC,FORGERY/COUNTERFEIT PUBLIC/CORPORATE SEAL,Forgery/Counterfeit,2,Fraud/Embezzlement,Other charge
F,475(B)PC,POS BLANK CHEC/ETC:DEFRAUD,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
F,475C&473APC,FORGERY EXCEEDING $950 CHECK/BOND ETC,Forgery/Counterfeit,2,Fraud/Embezzlement,Other charge
M,484E(A)PC,ACQUIRE ACCESS CARD W/INTENT TO USE/SELL,Forgery/Counterfeit,2,Fraud/Embezzlement,Other charge
F,484E(C)PC,ACQUIRE ACCESS CARD W/INTENT TO DEFRAUD,Forgery/Counterfeit,2,Fraud/Embezzlement,Other charge
F,484G(A)PC,USE EXPIRE/FORGE/REVOKE ACCESS CARD >$400,Forgery/Counterfeit,2,Fraud/Embezzlement,Other charge
M,484G(B)PC,PRETEND TO BE CARD HOLDER,Forgery/Counterfeit,2,Fraud/Embezzlement,Other charge
M,484GPC,THEFT OF ACCESS CARD,Forgery/Counterfeit,2,Fraud/Embezzlement,Other charge
M,498(B)(3)PC,TAMPER W/UTILITY PROPERTY,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
I,498(B)(5)PC,NA,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
F,498(D)PC,THEFT OF UTILITY SERVICES > $950,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
F,506PC,EMBEZZLE PROP:TRUSTEE/BANKR/MERCHANT>$400,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
F,507PC,EMBEZZLE PROP:BAILEE/TENANT/LODGER >$400,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
F,530.5(D)1PC,CONVEY/SELL PERSONAL ID INFO W/INTENT DEFR,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
F,530PC,FALSE PERSONATION:GET MONEY/PROPERTY>$400,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
M,538D(B)2PC,IMPERSONATING A PEACE OFFICER,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
F,550(A)(3)PC,CAUSE VEH ACCIDENT TO PRESENT FALSE CLAIM,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
M,550(A)PC,FINE AND/OR PRIS-FRAUD CLAIM OVER $400,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
F,550(B)(2)PC,CONSPIRE:FAKE STMNT:CLAIM,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
M,6126(A)BP,ATTORNEY UNLAWFUL PRACTICE/ADVERTISE LAW,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
M,A10980C2WI,ATTEMPT WELFARE FRAUD,Fraud/Embezzlement,2,Fraud/Embezzlement,Other charge
F,A476PC,ATTEMPT MAKE/POSS/UTTER FICTITIOUS INSTRMT,Forgery/Counterfeit,2,Fraud/Embezzlement,Other charge
F,10752(A)VC,POSSESS/SELL MFG'S ID W/INTENT TO DEFRAUD,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,10803(B)VC,POSS VEH FOR SALE W/KNOWLEDG OF ALTER IDS,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,10855VC,EMBEZZLE RENTED/LEASED VEHICLE,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,10980(C)2WI,OBTAIN/ETC AID BY FALSE STMENT/ETC > $400,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,114PC,USE FALSE DOCU TO CONCEAL TRUE CITIZENSHP,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,115.5(A)PC,FILE FALSE DOCUMENT/COUNTY RECORD,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,115PC,OFFER FORGED INSTRUMENT TO FILE,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
M,11700VC,AUTO DEALER/MFG TRANSPORT W/O LICENSE,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,118APC,FALSE AFFIDAVIT AS TO TESTIMONY,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,141(A)PC,INTENTIONALLY ALTER PHYSICAL EVIDENCE,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
M,146A(B)2PC,IMPERSONATE AN OFFICE/INTIMIDATE ANOTHER,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,146A(B)PC,IMPERSONATE PO/ETC:ARREST/ETC,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,1703.3(A)LC,FILE WITH LABOR COMMISSION,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,17500BP,FALSE/MISLEADING ADVERTISING STATEMENTS,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,19706RT,FAIL TO FILE TAX W/INTENT TO DEFRAUD,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,2116UI,FALSE CERTIFICATION OF MEDICAL CONDITION,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,2945.4(A)CI,FORECLOSURE FRAUD,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,332(A)PC,OBTAIN OVER $400 BY FRAUD/TRICK,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
I,350(A)(1)PC,NA,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
F,350(A)(2)PC,"POSS 1,000+ ARTICLES W/COUNTERFEIT MARK",Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
F,424PC,EMBEZZLEMENT,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,4324(B)BP,POSSDRUGS BY FORGED PRESCRIPTION,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
M,4461(B)VC,LEND DISABLED PERSON PLACARD,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
I,4462(B)VC,FALSE LICENSE PLATES,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,4463.5(A)VC,ILL MFG/SELL/ETC DECORATIV LIC PLATE,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
M,4463(B)1VC,FALSIFY DISABLED PERSON PLACARD,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,470(C)PC,FORGERY,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
F,470B&473BPC,"FORGERY CHECK/BOND, ETC. NOT >$950 SP/CONV",Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
F,470D&473BPC,"FORGERY CHECK/BOND, ETC. NOT >$950 SP/CONV",Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
M,470D&473BPC,"FORGERY CHECK/BOND, ETC. NOT >$950",Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
F,471PC,MAKE FALSE ENTRIES IN RECORDS/RETURNS,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
F,474PC,SEND FORGED PHONE/TELEGRAPH MESSAGE,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,475(B)PC,POS BLANK CHECK/ETC:FRAUD,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,475PC,POSS/RECEIPT OF FORGED NOTES/BILLS/ETC,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
M,476&473APC,FORGERY EXCEEDING $950 NOT CHECK/BOND ETC,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
F,476&473BPC,"FORGERY CHECK/BOND, ETC. NOT >$950 SP/CONV",Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
F,476A(A)PC,NONSUFFCNT FUNDS CHECK EXCEED $950 W/PR,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,476APC,NON SUFFICIENT FUNDS CHECKS,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,476PC,MAKE/POSSESS/UTTER FICTITIOUS INSTRUMENTS,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
F,477PC,COUNTERFEITING GOLD/SILVER COINS/BARS/ETC,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
F,478PC,COUNTERFEITING - PUNISHMENT,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
F,483.5(A)PC,MANUFACTURE/ETC FALSE IDENTIFICATION DOCU,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
M,483.5(B)PC,POSS DOCUMENT ALTERING DEVICE,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
F,484.1(A)PC,FALSE INFORMATION/I.D. TO PAWNBROKER/ETC,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,484EPC,GRAND THEFT ACCESS CARD,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
F,484F(1)PC,FORGE/MAKE/USE OF ACCESS CARD TO DEFRAUD,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
F,484F(2)PC,FORGE NAME ON ACCESS CARD,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
F,484GPC,THEFT OF ACCESS CARD,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
F,484I(C)PC,MAKE/ETC EQUIP:FAKE CARD,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
M,484I(C)PC,MAKE/ETC EQUIP:FAKE CARD,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
M,484JPC,PUBLISH ACCESS CARD NUMBER TO DEFRAUD,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
I,485PC,NA,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,499PC,STEAL WATER,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,502(C)(5)PC,UNAUTH DISRUPTN/DENIAL OF COMPU SERVICE,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,502(C)(7)PC,"UNAUTHORIZED COMPUTER ACCESS/OVER $5,000",Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,502C(1)BPC,FRAUD USE OF COMPUTER TO OBT $/PROP/DATA,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,504APC,EMBEZZLEMENT OF PROP UNDER LEASE/LIEN,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,506PC,EMBEZZLE PROP:TRUSTEE/BANKR/MERCHANT/ETC,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,507PC,EMBEZZLE OF PROP BY BAILEE/TENANT/LODGER,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,514PC,EMBEZZLEMENT >$400,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,529.2PC,FALSE PERSONATION TO RECORD DOCUMENT,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,529.3PC,FALSE PERSONATION TO MAKE OTHER LIABLE,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,529.5PC,MAKE/SELL FAKE ID CARD,Forgery/Counterfeit,1,Fraud/Embezzlement,Other charge
M,529.7PC,FALSELY OBTAIN/POSSESS DMV/DOCUMENTS,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,529(A)(3)PC,FALSE PERSONATION IN SUIT OF PROSECUTION,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,530.5 PC,NA,NA,1,Fraud/Embezzlement,Other charge
M,530.5(D)1PC,CONVEY/TRANS/PERSONAL ID INFO W/INT DEFRAU,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,530.5(D)PC,IDENTITY THEFT,NA,1,Fraud/Embezzlement,Other charge
M,530.5C1,NA,NA,1,Fraud/Embezzlement,Other charge
I,53021ALAMC,NA,NA,1,Fraud/Embezzlement,Other charge
M,531APC,PROCURE ANOTHER TO FRAUD CONVEY PROPERTY,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,532(A)PC,OBTAIN MONEY BY FALSE PRETENSES >$400,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,532A(1)PC,MAKE FALSE FINANCIAL STATEMENT,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,532A(2)PC,BENEFIT BY FALSE FINANCIAL STATEMENT,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,532BPC,IMPERSONATE VETERAN TO SOLICIT,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,532PC,OBTAIN MONEY BY FALSE PRETENSES,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,537(A)(2)PC,DEFRAUD INNKEEPER BY NON-PAYMENT > $400,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,537(C)PC,DEFRAUDING LIVERY OWNER,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,538PC,REMOVE MORTGAGED PROPERTY,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,549PC,SOLICIT/ACCEPT FALS CLAIM AGAINST INSURER,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,550(A)(5)PC,PREP WRITING W/INTENT SUPPORT FALSE CLAIM,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,550(A)PC,FINE AND/OR PRIS-FRAUD CLAIM OVER $400,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,550PC,FALSE/FRAUD CLAIMS-VEHICLE LOSS/DAMAGE,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
I,640(B)2PC,MISUSE TRANSF/PASS ON PUBLC TRANSP SYSTM,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,7027.3BP,FRAUDULENT USE OF CONTRACTOR'S LICENSE,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,7027.3BP,FRAUDULENT USE OF CONTRACTOR'S LICENSE,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,7028.16BP,CONTRACTING W/O LIC DURING EMERGENCY,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,A111440HS,UNLAWFUL ATTEMPT SELL MISBRANDED DRUG/DEV,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,A118PC,ATTEMPT PERJURY UNDER OATH,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,A136.1A1PC,ATTEMPT TO DISSUADE WITNESS,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,A148.9(A)PC,ATTEMPT - FALSE ID TO PEACE OFFICER,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,A4463(A)VC,ATTEMPT POSS OF FALSE REGISTRATION,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,A524PC,ATTEMPT - EXTORTION,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,A530.5(A)PC,ATTEMPTED IDENTITY THEFT,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
F,A532(A)PC,ATT OBTAIN MONEY/ETC BY FALSE PRETENSES,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,A532(A)PC,ATT OBTAIN MONEY/ETC BY FALSE PRETENSES,Fraud/Embezzlement,1,Fraud/Embezzlement,Other charge
M,166(A)(4)PC,CONTEMPT OF COURT - DISOBEY COURT ORDER,Miscellaneous Other Violations,264,Miscellaneous other violations,Other charge
M,5411PU,CHARTER A CARRIER W/O PERMIT,Miscellaneous Other Violations,101,Miscellaneous other violations,Other charge
M,SMMC,SANTA MONICA MUNICIPAL CODE,NA,91,Miscellaneous other violations,Other charge
M,7583.3(A)BP,FAIL CARRY SEC GUARD REGISTRATION CARD,NA,89,Miscellaneous other violations,Other charge
I,43132,NA,NA,78,Miscellaneous other violations,Other charge
M,653.23PC,NA,NA,65,Miscellaneous other violations,Other charge
M,5411PUC,NA,NA,62,Miscellaneous other violations,Other charge
F,646.9(A)PC,STALKING,Miscellaneous Other Violations,60,Miscellaneous other violations,Other charge
M,653.23(A)PC,NA,NA,57,Miscellaneous other violations,Other charge
D,300(B)WI,NA,NA,53,Miscellaneous other violations,Other charge
O,300(B)WIC,NA,NA,51,Miscellaneous other violations,Other charge
M,347(B)PC,FALSE RPT:POISN/HARMFU SUB FOOD/DRINK/ETC,Miscellaneous Other Violations,49,Miscellaneous other violations,Other charge
D,300(D)WIC,NA,NA,46,Miscellaneous other violations,Other charge
M,308(A)1PC,NA,NA,44,Miscellaneous other violations,Other charge
M,369(I)PC,NA,NA,44,Miscellaneous other violations,Other charge
M,647B(2)PC,NA,NA,42,Miscellaneous other violations,Other charge
M,369(I)(A)PC,NA,NA,39,Miscellaneous other violations,Other charge
F,646.9(B)PC,STALKING IN VIOL OF TEMP RESTRAIN ORDER,Miscellaneous Other Violations,37,Miscellaneous other violations,Other charge
F,236PC,FALSE IMPRISONMENT,Miscellaneous Other Violations,35,Miscellaneous other violations,Other charge
F,32PC,ACCESSORY AFTR FACT-KNOW FEL CRIME/PERSON,Miscellaneous Other Violations,35,Miscellaneous other violations,Other charge
F,A207(A)PC,ATTEMPT - KIDNAPPING,Miscellaneous Other Violations,34,Miscellaneous other violations,Other charge
F,182(A)(1)PC,CONSPIRACY TO COMMIT ANY CRIME,Miscellaneous Other Violations,31,Miscellaneous other violations,Other charge
M,308A1PC,NA,NA,31,Miscellaneous other violations,Other charge
M,117555HS,DUMP/ETC WASTE/GARB/ETC,Miscellaneous Other Violations,28,Miscellaneous other violations,Other charge
M,308(A)(1)PC,NA,NA,28,Miscellaneous other violations,Other charge
M,311.1(A)PC,SEND/BRG OBSCEN MATR IN STATE 4 SALE/ETC,Miscellaneous Other Violations,27,Miscellaneous other violations,Other charge
M,640PC,NA,NA,27,Miscellaneous other violations,Other charge
M,7582.3(A)BP,PRIVATE PATROL OPERATOR W/O A LICENSE,NA,27,Miscellaneous other violations,Other charge
M,369I,NA,NA,26,Miscellaneous other violations,Other charge
O,300(D)WI,NA,NA,24,Miscellaneous other violations,Other charge
O,300(J)WI,NA,NA,24,Miscellaneous other violations,Other charge
I,555PC,NA,NA,24,Miscellaneous other violations,Other charge
O,300(D)WIC,NA,NA,22,Miscellaneous other violations,Other charge
M,330(A)PC,NA,NA,22,Miscellaneous other violations,Other charge
M,350APC,NA,NA,22,Miscellaneous other violations,Other charge
F,452(C)PC,RECKLESS CAUSE FIRE:STRUCTURE/FOREST LAND,Miscellaneous Other Violations,21,Miscellaneous other violations,Other charge
M,597(C)PC,TORTURE/MAIME/ETC MAMMAL/BIRD/FISH/ETC,Miscellaneous Other Violations,21,Miscellaneous other violations,Other charge
F,136.1(A)2PC,ATTEMPT TO PREVENT/DISSUADE/VICTIM FROM,Miscellaneous Other Violations,20,Miscellaneous other violations,Other charge
F,186.22(A)PC,PARTICIPATE IN KNOWN STREET GANG,Miscellaneous Other Violations,20,Miscellaneous other violations,Other charge
M,23300 B&P,NA,NA,20,Miscellaneous other violations,Other charge
M,647(J)PC,INVADE PRIVACY:PEEK THRU HOLE IN BATHROOM,NA,20,Miscellaneous other violations,Other charge
M,653PC,TATTOO PERSON UNDER 18 YRS,Miscellaneous Other Violations,20,Miscellaneous other violations,Other charge
M,166(A)(1)PC,CONTEMPT OF COURT,Miscellaneous Other Violations,19,Miscellaneous other violations,Other charge
